,구분,일자,입실시간,퇴실시간,출결상태
0,1,2022-08-22,08:56:00,16:41:00,출석
1,1,2022-08-23,08:45:00,16:41:00,출석
2,1,2022-08-24,08:55:00,16:41:00,출석
3,1,2022-08-25,08:57:00,16:41:00,출석
4,1,2022-08-26,08:46:00,16:41:00,출석
5,1,2022-08-29,08:54:00,16:41:00,출석
6,1,2022-08-30,08:53:00,16:42:00,출석
7,1,2022-08-31,08:57:00,16:43:00,출석
8,1,2022-09-01,08:57:00,16:41:00,출석
9,1,2022-09-02,08:55:00,16:41:00,출석
10,1,2022-09-05,09:00:00,16:42:00,출석
11,1,2022-09-07,09:01:00,16:41:00,조퇴
12,1,2022-09-08,00:00:00,00:00:00,결석
13,1,2022-09-13,08:59:00,17:41:00,출석
14,1,2022-09-14,08:55:00,17:41:00,출석
15,1,2022-09-15,08:56:00,17:45:00,출석
16,1,2022-09-16,09:00:00,17:41:00,출석
17,1,2022-09-19,09:04:00,18:29:00,출석
18,1,2022-09-20,09:11:00,16:41:00,지각
19,1,2022-09-21,09:02:00,16:41:00,출석
20,1,2022-09-22,09:05:00,16:41:00,출석
21,1,2022-09-23,09:05:00,15:41:00,조퇴
22,1,2022-09-26,09:00:00,16:41:00,출석
23,1,2022-09-27,08:59:00,16:50:00,출석
24,1,2022-09-28,10:02:00,16:40:00,지각
25,1,2022-09-29,09:03:00,16:41:00,출석
26,1,2022-09-30,09:05:00,16:42:00,출석
27,1,2022-10-04,09:02:00,16:41:00,출석
28,1,2022-10-05,09:02:00,16:41:00,출석
29,1,2022-10-06,09:00:00,16:41:00,출석
30,1,2022-10-07,09:05:00,16:41:00,출석
31,1,2022-10-11,09:07:00,16:41:00,출석
32,1,2022-10-12,08:59:00,16:41:00,출석
33,1,2022-10-13,08:57:00,16:41:00,출석
34,1,2022-10-14,00:00:00,00:00:00,결석
35,1,2022-10-17,09:03:00,18:15:00,출석
36,1,2022-10-18,09:13:00,18:23:00,지각
37,1,2022-10-19,09:05:00,18:08:00,출석
38,1,2022-10-20,09:06:00,18:12:00,출석
39,1,2022-10-21,09:11:00,16:41:00,지각
40,1,2022-10-24,00:00:00,00:00:00,결석
41,1,2022-10-25,09:08:00,16:41:00,출석
42,1,2022-10-26,09:08:00,16:41:00,출석
43,1,2022-10-27,09:10:00,16:41:00,출석
44,1,2022-10-28,09:05:00,15:39:00,조퇴
45,1,2022-10-31,09:05:00,16:42:00,출석
46,1,2022-11-01,09:02:00,16:41:00,출석
47,1,2022-11-02,09:00:00,16:41:00,출석
48,1,2022-11-03,09:08:00,16:41:00,출석
49,1,2022-11-04,09:06:00,12:51:00,조퇴
50,1,2022-11-07,09:05:00,16:41:00,출석
51,1,2022-11-08,00:00:00,00:00:00,결석
52,1,2022-11-09,10:02:00,16:41:00,지각
53,1,2022-11-10,09:10:00,16:41:00,출석
54,1,2022-11-11,09:56:00,16:41:00,지각
55,1,2022-11-14,09:15:00,16:44:00,지각
56,1,2022-11-15,09:08:00,16:42:00,출석
57,1,2022-11-16,09:10:00,16:42:00,출석
58,1,2022-11-17,09:04:00,12:33:00,출석
59,1,2022-11-18,09:10:00,16:45:00,출석
60,1,2022-11-21,08:48:00,16:43:00,출석
61,1,2022-11-22,09:01:00,16:42:00,출석
62,1,2022-11-23,09:14:00,16:52:00,지각
63,1,2022-11-24,08:56:00,16:41:00,출석
64,1,2022-11-25,08:57:00,12:50:00,조퇴
65,1,2022-11-28,00:00:00,00:00:00,결석
66,1,2022-11-29,00:00:00,00:00:00,결석
67,1,2022-11-30,08:54:00,16:41:00,출석
68,1,2022-12-01,11:01:00,16:41:00,지각
